Creating Datasets
Training Starts!
Epoch 0, mae 0.4104141891002655
Epoch 1, mae 0.3623882532119751
Epoch 2, mae 0.36094430088996887
Epoch 3, mae 0.3442893922328949
Epoch 4, mae 0.3395764231681824
Epoch 5, mae 0.338657021522522
Epoch 6, mae 0.3367408514022827
Epoch 7, mae 0.33454838395118713
Epoch 8, mae 0.3317064642906189
Epoch 9, mae 0.33055591583251953
Epoch 10, mae 0.32953765988349915
Epoch 11, mae 0.3285791277885437
Epoch 12, mae 0.32777702808380127
Epoch 13, mae 0.326671302318573
Epoch 14, mae 0.32577359676361084
Epoch 15, mae 0.3257327973842621
Epoch 16, mae 0.32522714138031006
Epoch 17, mae 0.3249395191669464
Epoch 18, mae 0.3244253396987915
Epoch 19, mae 0.3240859806537628
Epoch 20, mae 0.32334381341934204
Epoch 21, mae 0.32300621271133423
Epoch 22, mae 0.32260432839393616
Epoch 23, mae 0.3223632276058197
Epoch 24, mae 0.32259348034858704
Epoch 25, mae 0.3226606845855713
Epoch 26, mae 0.322101354598999
Epoch 27, mae 0.3213111162185669
Epoch 28, mae 0.32055404782295227
